subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,wantingToMove,pleasure,beatStrength,wrt,prt,brt
666,0,0,91,MENTRONOME 1 LH,iso,low,wpb,practice,23.764732379699126,2,2,5,4.1343710999935865,3.2832527999999,5.066036900039762
666,0,0,56,HIGH RHYTHM 2 LH,high,low,pwb,practice,43.26706827967428,2,2,3,1.3833426999626681,2.116591800004244,2.3995241000084206
666,0,0,10,LOW RHYTHM 2 LH,low,low,bpw,practice,56.166122779715806,2,2,2,1.7164966000709683,1.5494921000208706,5.699882399989292
666,0,0,37,MEDIUM 1 LH,medium,low,wbp,practice,72.13113347964827,4,4,5,4.049898899975233,4.249497500015423,3.1328193000517786
666,23,7,24,LOW RHYTHM 3 MH,low,medium,pbw,main,95.13528147968464,2,2,5,4.466401600046083,3.233274199999869,2.616268299985677
666,39,7,24,LOW RHYTHM 3 MH,low,medium,bpw,main,112.44578217971139,1,3,2,3.233039400074631,3.032980200019665,2.584631699952297
666,41,9,33,MEDIUM RHYTHM 1 MH,medium,medium,bwp,main,128.31087207968812,4,4,4,1.249834300018847,1.5163258999818936,3.4830373000586405
666,34,2,98,METRONOME 1 HH,iso,high,bwp,main,141.56014367972966,2,1,5,4.350743800052442,1.666689799982123,2.183650800026953
666,1,1,95,METRONOME 1 MH,iso,medium,wpb,main,156.77494017966092,5,3,5,1.3000254000071436,2.4164470999967307,2.4996577999554574
666,31,15,69,HIGH RHYTHM 2 MH,high,medium,pbw,main,169.9912910796702,3,2,1,2.7329177000792697,2.9001137000741437,2.7828964999644086
666,47,15,69,HIGH RHYTHM 2 MH,high,medium,bpw,main,185.40695467975456,2,1,2,3.383016800042242,3.6327924999641255,2.650020599947311
666,45,13,59,HIGH RHYTHM 1 MH,high,medium,bwp,main,202.07225347973872,2,1,2,1.916381699964404,2.0849835000699386,3.116627100040205
666,35,3,94,METRONOME 2 MH,iso,medium,bpw,main,216.20444187975954,3,2,5,1.7831714999629185,4.665871100034565,1.8669768000254408
666,32,16,71,HIGH RHYTHM 2 HH,high,high,pbw,main,231.52077387971804,2,1,2,6.799125999910757,3.016737199970521,3.96628219995182
666,17,1,95,METRONOME 1 MH,iso,medium,pwb,main,252.30255077965558,3,3,5,1.633177199983038,1.816604599938728,1.0333433999912813
666,29,13,59,HIGH RHYTHM 1 MH,high,medium,pwb,main,263.7840854796814,2,2,3,3.7496191000100225,2.9499866999685764,1.6499311999650672
666,48,16,71,HIGH RHYTHM 2 HH,high,high,bpw,main,279.132620379678,1,2,1,2.983070599962957,2.28271279996261,1.183560499921441
666,10,10,35,MEDIUM RHYTHM 1 HH,medium,high,wpb,main,292.5827834797092,3,1,4,1.8168610000284389,2.199832700076513,6.449049500050023
666,36,4,97,METRONOME 2 HH,iso,high,bpw,main,310.0473805797519,2,1,5,1.24953359994106,1.499995999969542,1.8000503999646753
666,13,13,59,HIGH RHYTHM 1 MH,high,medium,wpb,main,321.5962865797337,2,1,2,3.9497250999556854,2.383644999936223,2.6156889999983832
666,42,10,35,MEDIUM RHYTHM 1 HH,medium,high,bwp,main,337.5454947797116,4,2,3,2.6827256999677047,2.3498105000471696,5.099959300016053
666,5,5,5,LOW RHYTHM 1 MH,low,medium,wpb,main,354.67866257973947,2,3,5,3.899508100003004,2.033316900022328,1.982789000030607
666,6,6,7,LOW RHYTHM 1 HH,low,high,wpb,main,369.5926716796821,2,1,5,3.7178449999773875,1.799816600047052,1.9330455000745133
666,33,1,95,METRONOME 1 MH,iso,medium,bwp,main,384.05912507965695,2,1,5,1.317137400037609,1.8998496999265626,1.350313000031747
666,38,6,7,LOW RHYTHM 1 HH,low,high,bwp,main,395.64089527970646,2,3,5,3.3495211999397725,2.4663370000198483,2.316685099969618
666,15,15,69,HIGH RHYTHM 2 MH,high,medium,wbp,main,410.7745221797377,1,2,2,1.6166100000264123,1.4828211000422016,2.5832381000509486
666,28,12,52,MEDIUM RHYTHM 3 HH,medium,high,pbw,main,423.45640587969683,4,5,3,0.7996709999861196,3.4331119999988005,2.9498039999743924
666,16,16,71,HIGH RHYTHM 2 HH,high,high,wbp,main,437.6383122797124,2,4,3,2.866540100076236,2.032969200052321,5.099678799975663
666,4,4,97,METRONOME 2 HH,iso,high,wbp,main,460.97197937965393,2,1,5,2.2999504999024794,2.8660982000874355,1.8998745999997482
666,24,8,26,LOW RHYTHM 3 HH,low,high,pbw,main,475.03504777967464,2,2,3,2.3496005999622867,2.7833043000428006,4.74951150000561
666,40,8,26,LOW RHYTHM 3 HH,low,high,bpw,main,491.91750377975404,1,2,3,1.1832066000206396,1.7329915999434888,5.166620700038038
666,21,5,5,LOW RHYTHM 1 MH,low,medium,pwb,main,506.9997956797015,3,2,5,1.9163370999740437,28.214818999986164,1.6997423999710009
666,22,6,7,LOW RHYTHM 1 HH,low,high,pwb,main,545.8305484796874,3,2,5,4.534064200008288,7.249662599992007,1.3332110000774264
666,37,5,5,LOW RHYTHM 1 MH,low,medium,bwp,main,565.9625418797368,3,2,4,3.466276500024833,1.432967200060375,4.88317010004539
666,3,3,94,METRONOME 2 MH,iso,medium,wbp,main,582.7453329797136,2,2,4,2.199910799972713,3.5159782000118867,4.5495649999938905
666,19,3,94,METRONOME 2 MH,iso,medium,pbw,main,600.0094551796792,2,2,5,3.049686999991536,2.866529499995522,1.8165431999368593
666,20,4,97,METRONOME 2 HH,iso,high,pbw,main,614.7426899797283,3,2,5,2.3497447998961434,5.966290099895559,5.566110199899413
666,2,2,98,METRONOME 1 HH,iso,high,wpb,main,635.6235294797225,2,2,5,3.6665483999531716,5.832756199990399,2.3497961999382824
666,12,12,52,MEDIUM RHYTHM 3 HH,medium,high,wbp,main,654.4725270797499,3,2,4,3.5832046000286937,1.8996511000441387,2.8331461999332532
666,9,9,33,MEDIUM RHYTHM 1 MH,medium,medium,wpb,main,669.7882944797166,4,4,4,4.066617000033148,1.5844350999686867,3.3499203000683337
666,44,12,52,MEDIUM RHYTHM 3 HH,medium,high,bpw,main,685.8036868796917,5,2,3,3.0495631999801844,1.3833836000412703,4.651013100054115
666,18,2,98,METRONOME 1 HH,iso,high,pwb,main,701.9019362797262,4,2,5,159.07180170004722,3.1665707000065595,3.3994735000887886
666,7,7,24,LOW RHYTHM 3 MH,low,medium,wbp,main,874.5400974797085,2,2,4,11.982529099914245,1.8664741000393406,1.7829738999716938
666,14,14,61,HIGH RHYTHM 1 HH,high,high,wpb,main,897.1716685796855,3,3,2,15.46568040002603,4.066237999941222,8.298961900058202
666,26,10,35,MEDIUM RHYTHM 1 HH,medium,high,pwb,main,932.0024851796916,2,4,4,6.115871599991806,5.449688900029287,3.0163808000506833
666,43,11,50,MEDIUM RHYTHM 3 MH,medium,medium,bpw,main,953.584458379657,4,3,4,0.7998141000280157,2.649694100022316,10.298795000067912
666,30,14,61,HIGH RHYTHM 1 HH,high,high,pwb,main,974.3328421796905,4,2,5,1.5829897999064997,4.5499066999182105,1.4499316000146791
666,11,11,50,MEDIUM RHYTHM 3 MH,medium,medium,wbp,main,988.9143606796861,2,3,4,410.65376270003617,3.3658099999884143,3.3665807000361383
666,27,11,50,MEDIUM RHYTHM 3 MH,medium,medium,pbw,main,1413.3007724797353,5,4,4,2.3829185999929905,1.4348853999981657,2.4999820000957698
666,8,8,26,LOW RHYTHM 3 HH,low,high,wbp,main,1426.6333840796724,3,2,5,1.7832961999811232,4.016156199970283,3.4332714999327436
666,46,14,61,HIGH RHYTHM 1 HH,high,high,bwp,main,1442.8654098797124,2,1,2,3.0006558001041412,1.565377700026147,2.3832728000124916
666,25,9,33,MEDIUM RHYTHM 1 MH,medium,medium,pwb,main,1456.8142297797604,3,2,4,0.8496705000288785,16.98236020002514,1.3663509999169037
